treatment_company,azimuth,md_ft,tvd_ft,date_on_production,operator,footage_lateral_length,well_spacing,porpoise_deviation,porpoise_count,shale_footage,acoustic_impedance,log_permeability,porosity,poisson_ratio,water_saturation,toc,vcl,p_velocity,s_velocity,youngs_modulus,isip,breakdown_pressure,pump_rate,total_number_of_stages,proppant_volume,proppant_fluid_ratio,production,difference_in_days,difference_in_weeks,difference_in_years
treatment_company_15,-75.949997,11707,5846.0,2015-09-01,operator_19,5666.0,1759.7357,11.83,5,4108,33045.51,0.06,0.02,0.34,0.81,4.61,0.73,13172.87,6895.53,30.78,4401.0,,81,22,9032087.0,0.93,616.3775066,3091,441.57142857142856,8.468493150684932
treatment_company_4,-19.77,15515,,2018-07-01,operator_4,6594.0,4620.7266,19.11,21,10662,33781.33,0.34,0.05,0.34,0.86,4.34,0.72,13175.91,6793.66,30.44,5136.0,9278.0,92,22,15053610.0,0.71,2277.459113,2057,293.85714285714283,5.635616438356164
treatment_company_10,-41.349998,9700,6317.0,2013-07-01,operator_11,3124.0,4388.9497,4.68,21,8105,33069.47,0.4,0.02,0.33,0.7,4.8,0.62,13278.1,7125.15,31.3,4189.0,6077.0,70,15,6597559.0,1.16,451.9080888,3883,554.7142857142857,10.638356164383561
treatment_company_12,-55.849998,12560,5810.0,2014-07-01,operator_19,6309.0,2383.8379,16.72,23,8416,34723.19,0.5,0.02,0.33,,4.83,0.56,13280.73,7014.03,31.04,4362.0,,82,28,7654300.0,0.86,869.0764801,3518,502.57142857142856,9.638356164383561
treatment_company_9,-30.030001,15575,9050.0,2015-07-01,operator_11,6229.0,421.83908,13.07,21,10586,32939.52,0.89,0.05,0.28,,4.24,0.68,11800.98,7090.25,31.75,,,71,33,4929437.0,1.02,640.2543161,3153,450.42857142857144,8.638356164383561
treatment_company_7,-8.0699997,14144,8637.0,2013-08-01,operator_11,4625.0,3859.6321,14.22,7,5799,33543.38,0.36,0.03,0.25,,4.63,0.62,11834.59,7094.11,31.09,5871.0,8043.0,68,24,2742635.0,1.09,2887.753959,3852,550.2857142857143,10.553424657534247
treatment_company_10,,11723,6447.0,2013-07-01,operator_11,4587.0,,142.57,6,10244,34770.84,0.63,,0.34,,5.15,0.4,13588.36,6953.62,30.83,4186.0,,69,23,9096222.0,1.13,853.7593013,3883,554.7142857142857,10.638356164383561
treatment_company_16,-46.709999,16580,7924.0,2016-10-01,operator_4,7670.0,4935.4126,20.14,9,0,34603.7,0.17,0.03,0.33,,4.72,0.78,12929.02,7001.5,31.21,5629.0,9448.0,98,36,10211621.0,0.97,2205.197627,2695,385.0,7.383561643835616
treatment_company_10,-39.529999,16584,7751.0,2017-10-01,operator_4,8583.0,1991.8982,37.94,29,17012,34634.34,1.35,0.04,0.21,0.9,5.11,0.62,12712.86,7072.03,29.62,6056.0,,100,28,10067031.0,1.3,1383.727159,2330,332.85714285714283,6.383561643835616
treatment_company_1,-30.91,15789,6422.0,2018-10-01,operator_5,9045.0,2209.8936,110.16,3,4477,33261.49,1.29,0.05,0.34,,3.87,1.89,12377.37,6502.8,29.8,4192.0,,70,46,18537600.0,1.1,3026.233432,1965,280.7142857142857,5.383561643835616
treatment_company_9,-44.220001,14361,5652.0,2018-06-01,operator_22,8459.0,4213.9629,19.62,11,1561,31078.71,0.52,0.02,0.34,,4.44,0.27,13487.18,6854.06,30.59,4419.0,5305.0,95,54,19765446.0,1.08,1903.9369,2087,298.14285714285717,5.717808219178083
treatment_company_4,-24.040001,17718,8709.0,2019-02-01,operator_7,8349.0,1416.6613,6.15,5,3247,34752.89,0.43,0.02,0.33,,4.72,0.59,13263.02,7033.37,31.11,5543.0,7175.0,82,42,,0.86,4228.464636,1842,263.14285714285717,5.046575342465753
treatment_company_5,-51.439999,17530,7216.0,2016-01-01,operator_8,10107.0,995.42365,208.1,1,0,35185.42,0.51,0.02,0.33,,4.78,0.57,13333.03,7015.97,31.05,4672.0,,90,54,17751614.0,1.13,2756.671721,2969,424.14285714285717,8.134246575342466
treatment_company_5,-32.619999,12725,7463.0,2012-01-01,operator_8,4806.0,,0.56,9,4056,34808.3,1.24,0.04,0.32,,4.85,0.96,12586.4,7454.69,32.84,5495.0,6529.0,97,17,6612626.0,1.04,1131.588838,4430,632.8571428571429,12.136986301369863
treatment_company_1,-40.09,15286,6441.0,2017-04-01,operator_5,8306.0,2075.7163,173.02,1,4004,34656.74,0.48,0.02,0.33,,4.65,0.58,13183.12,7057.25,31.21,3165.0,5690.0,78,41,20911024.0,1.14,3004.785693,2513,359.0,6.884931506849315
treatment_company_3,-50.709999,12927,6546.0,2018-06-01,operator_1,5961.0,997.46918,1.35,3,0,34551.73,0.5,0.02,0.33,0.78,4.74,0.6,13270.21,7043.91,31.14,4867.0,,89,29,11639140.0,1.47,2922.828868,2087,298.14285714285717,5.717808219178083
treatment_company_2,-10.67,10965,5778.0,2011-07-01,operator_2,4711.0,2782.4092,2.14,16,5181,34897.14,1.18,,0.2,,6.46,0.45,12136.41,6999.37,27.91,4535.0,,82,13,4828227.0,1.23,1243.10183,4614,659.1428571428571,12.64109589041096
treatment_company_8,-28.91,12517,5926.0,2011-01-01,operator_23,5747.0,4484.1367,19.82,6,0,35313.77,0.36,,0.33,,4.71,0.59,13260.93,6994.61,31.03,4427.0,,80,16,6631582.0,1.34,886.1946214,4795,685.0,13.136986301369863
treatment_company_13,-14.81,13900,5778.0,2013-07-01,operator_24,6938.0,2296.178,3.59,9,4149,34246.32,0.18,0.02,0.33,,4.64,0.67,13309.81,6919.51,30.8,4177.0,,79,22,7722081.0,1.27,1396.648404,3883,554.7142857142857,10.638356164383561
treatment_company_12,-18.629999,12593,8178.0,2011-01-01,operator_2,4133.0,,15.13,19,9516,35039.02,0.32,0.02,0.34,,4.68,0.62,13231.58,6984.64,31.02,6209.0,,73,12,4256000.0,1.32,1255.634139,4795,685.0,13.136986301369863
treatment_company_10,,13706,7912.0,2015-11-01,operator_4,5323.0,684.65454,9.21,3,0,34636.68,0.2,,0.34,0.87,4.66,0.64,13231.59,6940.83,30.89,5122.0,,98,34,8670784.0,0.91,2084.029287,3030,432.85714285714283,8.301369863013699
treatment_company_15,-82.589996,12540,6227.0,2016-03-01,operator_19,5576.0,3399.4922,3.73,8,0,34546.34,0.49,0.03,0.33,,4.65,0.57,13151.12,7038.62,31.16,3709.0,,81,25,,0.92,595.5361955,2909,415.57142857142856,7.96986301369863
treatment_company_5,-6.4899998,13048,8599.0,2016-02-01,operator_11,4199.0,987.50024,22.0,16,0,34735.75,0.86,0.05,0.32,,5.58,0.78,12524.46,7092.89,32.43,5123.0,6833.0,71,19,3321123.0,1.6,650.6824319,2938,419.7142857142857,8.04931506849315
treatment_company_12,,17884,8688.0,2017-10-01,operator_25,8946.0,2003.192,41.38,12,8492,34732.74,1.72,0.08,0.26,,4.01,0.65,11551.76,6842.7,28.15,5191.0,,81,52,23007504.0,1.32,2437.073421,2330,332.85714285714283,6.383561643835616
treatment_company_3,-87.25,11676,6610.0,2017-10-01,operator_4,2628.0,700.13141,33.81,5,2953,34681.88,0.4,0.02,0.33,,4.7,0.58,13221.09,7017.72,31.1,3120.0,8872.0,94,13,,1.24,477.6320969,2330,332.85714285714283,6.383561643835616
